Row Labels,Sum of Employment_Thousands
1993,3.588
1994,3.027
1995,2.72
1996,2.815
1997,2.828
1998,4.745
1999,5.105
2000,0.031
2002,659.605
2003,2027.771
2004,1962.969
2005,5557.092
2006,5654.352
2007,6062.641
2008,3679.712
2009,3711.724
2010,3769.135
2011,3835.944
2012,5867.713
2013,5033.63
2014,4975.094
2015,4986.205
2016,4449.746
2017,4574.391
2018,5307.746
2019,5507.361
2020,5328.352
2021,5549.689
2022,5533.572
2023,6077.311
2024,4412.62
Grand Total,104549.234
